basisofrec,catnum,classkey,coll_code,datasetkey,day,dec_lat,dec_long,familykey,gbifid,gbifurl,genuskey,geomwkt,inst_code,kingdomkey,localid,month,occurid,orderkey,phylumkey,provider,puborgkey,rec_by,sciname,specieskey,taxonkey,year
HUMAN_OBSERVATION,2217,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-5.11667,39.08333,3346,225876373,http://www.gbif.org/occurrence/225876373,1650098,POINT (39.08333 -5.11667),NICD,1,792,0,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,0
HUMAN_OBSERVATION,2223,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-4.86667,39.15,3346,225876374,http://www.gbif.org/occurrence/225876374,1650098,POINT (39.15 -4.86667),NICD,1,793,9,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1982
HUMAN_OBSERVATION,2224,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-4.86667,39.15,3346,225876375,http://www.gbif.org/occurrence/225876375,1650098,POINT (39.15 -4.86667),NICD,1,794,5,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1983
HUMAN_OBSERVATION,2225,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-4.86667,39.15,3346,225876376,http://www.gbif.org/occurrence/225876376,1650098,POINT (39.15 -4.86667),NICD,1,795,6,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1983
HUMAN_OBSERVATION,2226,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-4.86667,39.15,3346,225876377,http://www.gbif.org/occurrence/225876377,1650098,POINT (39.15 -4.86667),NICD,1,796,8,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1983
HUMAN_OBSERVATION,2227,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-4.86667,39.15,3346,225876378,http://www.gbif.org/occurrence/225876378,1650098,POINT (39.15 -4.86667),NICD,1,797,10,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1983
HUMAN_OBSERVATION,2228,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-4.86667,39.15,3346,225876379,http://www.gbif.org/occurrence/225876379,1650098,POINT (39.15 -4.86667),NICD,1,798,4,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1983
HUMAN_OBSERVATION,2240,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-6.16667,39.2,3346,225876380,http://www.gbif.org/occurrence/225876380,1650098,POINT (39.2 -6.16667),NICD,1,799,3,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1984
HUMAN_OBSERVATION,2243,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-6.16667,39.2,3346,225876381,http://www.gbif.org/occurrence/225876381,1650098,POINT (39.2 -6.16667),NICD,1,800,12,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1983
HUMAN_OBSERVATION,2277,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-6.16667,39.2,3346,225876382,http://www.gbif.org/occurrence/225876382,1650098,POINT (39.2 -6.16667),NICD,1,801,0,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1985
